variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
"bs(year, df=4)[0]",-49.29301591240196,Contracts Expression,Contracts Expression,55.21910680316684,0.37202833431558124,spec_extended_2_spline_interact,Mixed Outcome,,-49.293 (55.219)
"bs(year, df=4)[0]",-131.70185458912002,Expands Expression,Expands Expression,88.77858816025825,0.13794514807540126,spec_extended_2_spline_interact,Mixed Outcome,,-131.702 (88.779)
"bs(year, df=4)[1]",-97.36725869299721,Contracts Expression,Contracts Expression,54.830171992182215,0.07576637106616815,spec_extended_2_spline_interact,Mixed Outcome,*,-97.367* (54.83)
"bs(year, df=4)[1]",-98.49349093025388,Expands Expression,Expands Expression,87.9808199363594,0.262931916431304,spec_extended_2_spline_interact,Mixed Outcome,,-98.493 (87.981)
"bs(year, df=4)[2]",-83.32638832286162,Contracts Expression,Contracts Expression,53.058276823438476,0.1163059998202246,spec_extended_2_spline_interact,Mixed Outcome,,-83.326 (53.058)
"bs(year, df=4)[2]",-107.5148923167449,Expands Expression,Expands Expression,87.69305766733953,0.22018492774890674,spec_extended_2_spline_interact,Mixed Outcome,,-107.515 (87.693)
"bs(year, df=4)[3]",-82.9515933006507,Contracts Expression,Contracts Expression,53.46285745665978,0.12076412691764243,spec_extended_2_spline_interact,Mixed Outcome,,-82.952 (53.463)
"bs(year, df=4)[3]",-97.98307220346248,Expands Expression,Expands Expression,88.23860188176488,0.2668124025512604,spec_extended_2_spline_interact,Mixed Outcome,,-97.983 (88.239)
v2x_polyarchy_lag1,-174.79688069566564,Contracts Expression,Contracts Expression,102.53753497352513,0.08824830651206184,spec_extended_2_spline_interact,Mixed Outcome,*,-174.797* (102.538)
v2x_polyarchy_lag1,-188.95485806503672,Expands Expression,Expands Expression,164.35484732529196,0.25027725606976514,spec_extended_2_spline_interact,Mixed Outcome,,-188.955 (164.355)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",153.343354432334,Contracts Expression,Contracts Expression,112.00625877757307,0.17098033685641945,spec_extended_2_spline_interact,Mixed Outcome,,153.343 (112.006)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",240.045208101403,Expands Expression,Expands Expression,183.0868893130926,0.18982400379804465,spec_extended_2_spline_interact,Mixed Outcome,,240.045 (183.087)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",190.78450206050633,Contracts Expression,Contracts Expression,101.5664958458694,0.06032377882562522,spec_extended_2_spline_interact,Mixed Outcome,*,190.785* (101.566)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",182.1938000817953,Expands Expression,Expands Expression,160.19609390542865,0.25540563626002877,spec_extended_2_spline_interact,Mixed Outcome,,182.194 (160.196)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",175.98894485339895,Contracts Expression,Contracts Expression,102.67375078180294,0.08651775071911386,spec_extended_2_spline_interact,Mixed Outcome,*,175.989* (102.674)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",196.29598414504883,Expands Expression,Expands Expression,165.74618495951006,0.23628769826548546,spec_extended_2_spline_interact,Mixed Outcome,,196.296 (165.746)
