row_id,case_id,indep1,indep2,attack1,attack2,attack3,attack4,attack5,dejure1,dejure2,dejure3,dejure4,dejure5,dejure6,full1,full2,full3,full4
269,South Africa_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
270,South Africa_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
271,South Africa_2019_04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
272,South Africa_2020_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
273,South Africa_2021_04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
274,South Africa_2022_05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
275,South Africa_2023_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
276,South Africa_2025_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
277,Sri Lanka_2005_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
278,Sri Lanka_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
279,Sri Lanka_2023_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
280,Sri Lanka_2024_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
281,Tajikistan_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
282,Tajikistan_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
283,Tanzania_2018_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
284,Tanzania_2019_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
285,Tanzania_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
286,Thailand_2011_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
287,Thailand_2013_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
288,Thailand_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
289,Thailand_2015_11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
290,Thailand_2017_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
291,Thailand_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
292,Thailand_2021_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
293,Thailand_2023_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
294,Turkey_1997_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
