,Intercept,wdj_citizen_lag1,v2jureform_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1,mode_electronic_internet,mode_press_newspapers,mode_public_speech,mode_public_documents,mode_audio_visual_broadcasting,mode_public_assembly,mode_non_verbal_expression,defendant_citizen,defendant_press,defendant_government,defendant_intermediary,defendant_unclear
177,1.0,0.925925926,-0.93,0.321,0.441,0.0,0.0,0.0,-0.101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
179,1.0,0.925925926,-0.607,0.325,0.441,0.0,0.0,0.0,-0.238,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
180,1.0,0.925925926,0.03,0.333,0.441,0.0,0.0,1.0,-0.361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
181,1.0,0.925925926,0.628,0.425,0.441,0.0,0.0,1.0,0.789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
182,1.0,0.0,-0.011,0.778,0.879,0.0,0.0,0.0,0.687,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
183,1.0,0.0,-0.011,0.777,0.879,0.0,0.0,1.0,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
185,1.0,0.888888889,-0.011,0.754,0.879,0.0,0.0,1.0,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,1.0,0.888888889,-0.011,0.767,0.031,0.0,0.0,1.0,0.696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
187,1.0,0.888888889,0.581,0.355,-0.761,0.0,0.0,0.0,-0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
188,1.0,0.888888889,0.581,0.357,-0.761,0.0,0.0,0.0,-0.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,1.0,0.888888889,0.323,0.37,-0.484,0.0,0.0,0.0,-0.176,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,1.0,0.0,-0.381,0.081,-0.104,0.0,0.0,0.0,-0.975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
192,1.0,0.0,0.374,0.655,1.036,0.0,0.0,1.0,1.874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
193,1.0,0.0,0.092,0.656,1.036,0.0,0.0,0.0,1.555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
194,1.0,0.0,-0.098,0.682,1.036,0.0,0.0,1.0,1.406,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
196,1.0,0.0,0.283,0.685,1.67,0.0,0.0,1.0,1.257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,1.0,0.0,1.347,0.481,1.421,0.0,0.0,0.0,0.586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
200,1.0,0.0,1.347,0.506,1.421,0.0,0.0,0.0,0.586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,1.0,0.968253968,1.347,0.554,1.421,0.0,0.0,0.0,0.677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
203,1.0,0.968253968,1.382,0.555,1.421,0.0,0.0,0.0,0.879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,1.0,0.968253968,1.179,0.52,1.421,0.0,0.0,0.0,0.879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
206,1.0,0.968253968,1.838,0.488,1.421,0.0,0.0,0.0,0.842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,1.0,0.0,-1.325,0.203,0.765,0.0,0.0,0.0,-0.662,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
210,1.0,0.0,-0.282,0.451,1.109,0.0,0.0,1.0,-0.011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,1.0,0.0,-0.494,0.466,1.579,0.0,0.0,0.0,-0.141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
212,1.0,0.0,-0.381,0.47,1.579,0.0,0.0,0.0,-0.164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
213,1.0,0.0,-0.381,0.469,1.579,0.0,0.0,0.0,-0.164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214,1.0,0.0,-0.292,0.419,1.757,0.0,0.0,1.0,0.697,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
