,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
258,1.0,0.05621181712215668,0.3437527424213736,0.5990013524327411,0.0,0.779,0.04378900553816005,0.26778338634625004,0.46662205354510533,0.0,0.0,0.35,1.237,0.0,0.0,0.0,0.909
259,1.0,0.04893143593579988,0.3285964360365986,0.6217458549574381,0.0,0.779,0.0381175885939881,0.25597662367251034,0.48434002101184426,0.0,0.0,0.416,1.237,0.0,0.0,0.0,1.28
260,1.0,0.04208971485259758,0.31236479813333684,0.6450589407971398,0.0,0.775,0.03261952901076313,0.24208271855333605,0.4999206791177833,0.0,0.0,0.416,1.237,0.0,0.0,1.0,1.392
261,1.0,0.035709913821129854,0.2950360602284502,0.6689476294989446,0.0,0.775,0.027675183211375638,0.2286529466770489,0.5184344128616821,0.0,0.0,0.48,1.237,0.0,0.0,0.0,1.28
262,1.0,0.029815292789976786,0.27658845383880104,0.6934189406099519,0.0,0.778,0.02319629779060194,0.2151858170865872,0.5394799357945426,0.0,0.0,0.315,1.237,0.0,0.0,1.0,1.392
263,1.0,0.024429111707718425,0.2570002104812512,0.71847989367726,0.0,0.777,0.018981419796897218,0.1996891635439322,0.558258877387231,0.0,0.0,0.315,1.237,0.0,0.0,1.0,1.392
264,1.0,0.019574630522934858,0.23624956167266287,0.7441375082479678,0.0,0.779,0.015248637177366254,0.18403840854300438,0.5796831189251669,0.0,0.0,0.315,1.237,0.0,0.0,1.0,1.392
265,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.765,0.011685458525917713,0.16395077528137209,0.5893550849599184,0.0,0.0,0.287,1.237,0.0,0.0,0.0,1.494
266,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.758,0.0087577861912052,0.1449098721175229,0.6043312664666877,0.0,0.0,0.287,1.237,0.0,0.0,1.0,1.554
267,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.755,0.0063676593086214065,0.12593815077051226,0.6226941899208662,0.0,0.0,0.333,1.237,0.0,0.0,0.0,1.494
268,1.0,0.00592345781850155,0.14134028516924532,0.8513645148997703,0.0013717421124828531,0.752,0.004454440279513166,0.10628789444727248,0.6402261152046272,0.0010315500685871056,0.0,0.333,1.237,0.0,0.0,1.0,1.554
269,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.738,0.0029285714285714284,0.08525396825396826,0.6417186948853616,0.008098765432098766,0.0,0.333,1.237,0.0,0.0,0.0,1.494
270,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.747,0.001866722199083715,0.0674094127446897,0.6500571983895599,0.027666666666666666,0.0,0.373,1.237,0.0,0.0,0.0,1.494
271,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.727,0.0010513559165162664,0.04826891830050236,0.6138553087733791,0.06382441700960219,0.0,0.744,1.237,0.0,0.0,0.0,1.377
272,1.0,0.0007404322273126938,0.04487841999989717,0.7829133837124335,0.17146776406035666,0.719,0.0005323707714378268,0.03226758397992606,0.5629147228892396,0.12328532235939643,0.402777778,0.696,1.237,0.0,0.0,1.0,1.869
273,1.0,0.00031236984589754266,0.026586144661946406,0.6768051891958596,0.2962962962962963,0.725,0.00022646813827571842,0.019274954879911144,0.4906837621669982,0.2148148148148148,0.402777778,1.163,1.237,0.0,0.0,1.0,1.869
274,1.0,9.255402841408673e-05,0.01241252358842252,0.5169873778015448,0.4705075445816187,0.718,6.645379240131426e-05,0.00891219193648737,0.37119693726150915,0.3378244170096022,0.402777778,1.529,1.237,0.0,0.0,0.0,2.031
276,1.0,0.07199552001001348,0.3709264345680147,0.555190019139965,0.0,0.513,0.03693370176513692,0.19028526093339154,0.28481247981880203,0.0,0.0,0.446,0.734,0.0,0.0,1.0,0.651
277,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.591,0.002345238095238095,0.06827248677248678,0.5138966784244562,0.006485596707818929,0.0,2.405,0.823,0.0,0.0,0.0,1.954
279,1.0,1.156925355176084e-05,0.0032522457206616583,0.29440422343456574,0.7023319615912208,0.585,6.768013327780091e-06,0.00190256374658707,0.17222647070922095,0.4108641975308641,0.0,0.069,1.268,0.0,0.0,0.0,1.449
280,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.201,0.0023223153356625925,0.03842596872773365,0.16025143081768367,0.0,0.0,1.328,1.345,0.0,1.0,1.0,-2.121
281,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.168,0.0006666666666666666,0.01940740740740741,0.14608230452674897,0.0018436213991769547,0.0,1.328,1.345,0.0,1.0,0.0,-2.077
285,1.0,0.029815292789976786,0.27658845383880104,0.6934189406099519,0.0,0.411,0.012254085336680457,0.11367785452774722,0.28499518459069023,0.0,0.0,-1.421,1.111,0.0,0.0,0.0,0.509
286,1.0,0.019574630522934858,0.23624956167266287,0.7441375082479678,0.0,0.493,0.009650292847806885,0.1164710339046228,0.3668597915662481,0.0,0.0,-1.421,1.111,0.0,0.0,0.0,0.994
287,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.446,0.006812698696155948,0.09558437356273458,0.3435978665256518,0.0,0.0,-1.421,1.513,0.0,0.0,0.0,0.994
288,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.162,0.0018717168376982088,0.0309701837507107,0.12915786961425252,0.0,0.0,0.174,0.773,0.0,0.0,0.0,-0.38
289,1.0,0.00592345781850155,0.14134028516924532,0.8513645148997703,0.0013717421124828531,0.16,0.0009477532509602481,0.022614445627079253,0.13621832238396325,0.00021947873799725651,0.0,0.048,0.665,0.0,0.0,0.0,-0.77
290,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.154,0.0006111111111111111,0.017790123456790125,0.1339087791495199,0.001689986282578875,0.0,0.143,0.665,0.0,0.0,0.0,-0.661
291,1.0,0.0007404322273126938,0.04487841999989717,0.7829133837124335,0.17146776406035666,0.201,0.00014882687768985148,0.009020562419979332,0.15736559012619913,0.03446502057613169,0.0,0.143,0.665,0.0,0.0,0.0,-0.661
305,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.388,0.0032723865056226565,0.06472053311120365,0.32000708038317366,0.0,0.0,-2.134,1.486,0.0,1.0,0.0,0.501
308,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.295,0.0007371928363182007,0.02662085242260169,0.25671602881515415,0.010925925925925924,0.0,-2.658,0.245,0.0,1.0,1.0,0.156
312,1.0,9.255402841408673e-05,0.01241252358842252,0.5169873778015448,0.4705075445816187,0.285,2.6377898098014714e-05,0.003537569222700418,0.14734140267344026,0.1340946502057613,0.619047619,-2.262,1.455,0.0,1.0,0.0,-0.789
314,1.0,0.09837952640095558,0.4041661984777731,0.4935619053858645,0.0,0.27,0.02656247212825801,0.10912487358899874,0.13326171445418342,0.0,0.0,-1.351,1.888,0.0,0.0,0.0,-0.064
315,1.0,0.04208971485259758,0.31236479813333684,0.6450589407971398,0.0,0.32,0.013468708752831227,0.09995673540266779,0.20641886105508472,0.0,0.0,-0.985,1.888,0.0,0.0,0.0,-0.064
316,1.0,0.035709913821129854,0.2950360602284502,0.6689476294989446,0.0,0.318,0.011355752595119294,0.09382146715264716,0.21272534618066438,0.0,0.0,-1.289,1.888,0.0,0.0,0.0,-0.064
317,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.312,0.004765834065472322,0.06686619854612823,0.2403644268071824,0.0,0.0,-1.206,1.888,0.0,0.0,0.0,-0.101
319,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.283,0.0007072053311120365,0.025537970290156874,0.2462733428972496,0.01048148148148148,0.0,-1.407,1.888,0.0,0.0,0.0,-0.544
320,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.284,0.00041070850108750984,0.018856083627706563,0.23980042323471754,0.024932784636488337,0.0,-1.283,1.888,0.0,0.0,0.0,-0.544
321,1.0,0.0007404322273126938,0.04487841999989717,0.7829133837124335,0.17146776406035666,0.285,0.0002110231847841177,0.012790349699970692,0.2231303143580435,0.048868312757201646,0.755555556,-1.283,0.984,0.0,0.0,0.0,-0.956
322,1.0,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0.0,0.0,0.0,1.4,2.009,1.0,0.0,1.0,1.853
323,1.0,0.24765834313016002,0.025215711733964318,0.0008528749725067739,0.0,0.559,0.13844101380975946,0.014095582859286054,0.00047675710963128665,0.0,0.0,0.347,2.009,1.0,0.0,0.0,1.336
324,1.0,0.3245833256896591,0.050157976616337474,0.0025703241626850236,0.0,0.554,0.17981916243207116,0.027787519045450963,0.0014239595861275031,0.0,0.0,1.248,2.009,1.0,0.0,1.0,1.574
325,1.0,0.3560946787733455,0.06514573499942503,0.003948495243086916,0.0,0.562,0.20012520947062018,0.03661190306967687,0.002219054326614847,0.0,0.0,1.399,2.009,1.0,0.0,1.0,1.055
326,1.0,0.44630571480598136,0.14796511216736746,0.01617303651568401,0.0,0.585,0.26108884316149905,0.08655959061790997,0.009461226361675146,0.0,0.0,1.747,2.009,1.0,0.0,1.0,1.875
