,Intercept,wdj_expression_lag1,v2jupack_lag1
686,1.0,0.0,-0.237
687,1.0,0.0,-0.237
688,1.0,0.0,-0.237
689,1.0,0.0,-0.237
690,1.0,0.0,0.591
691,1.0,0.0,0.591
692,1.0,0.0,0.489
693,1.0,0.0,-1.857
694,1.0,0.0,-1.857
695,1.0,0.0,-1.857
696,1.0,0.0,-1.857
697,1.0,0.0,-1.857
698,1.0,0.0,-1.857
699,1.0,0.0,-1.857
700,1.0,0.0,-1.857
701,1.0,0.0,-1.857
702,1.0,0.0,-1.857
703,1.0,0.0,-1.857
704,1.0,0.0,-0.903
705,1.0,0.0,-0.903
706,1.0,0.0,-0.903
707,1.0,0.0,-1.269
708,1.0,0.0,-1.269
709,1.0,0.0,-1.269
710,1.0,0.0,-1.462
711,1.0,0.0,-1.462
712,1.0,0.0,-1.462
713,1.0,0.0,-1.462
714,1.0,0.0,-1.462
715,1.0,0.0,-1.462
716,1.0,0.0,-1.462
717,1.0,0.0,-1.433
718,1.0,0.0,-1.433
719,1.0,0.0,-1.433
720,1.0,0.0,-1.433
721,1.0,0.0,-1.433
722,1.0,0.0,-1.433
723,1.0,0.0,-1.433
724,1.0,0.0,-1.433
725,1.0,0.0,-1.433
726,1.0,0.0,-1.433
727,1.0,0.0,-1.654
728,1.0,0.0,-1.654
729,1.0,0.0,-1.654
730,1.0,0.0,-1.654
731,1.0,0.0,-3.131
732,1.0,0.0,-3.131
733,1.0,0.0,-3.131
734,1.0,0.0,-3.131
735,1.0,0.0,-3.131
736,1.0,0.0,-3.131
737,1.0,0.619047619,-1.736
738,1.0,0.619047619,-1.736
739,1.0,0.619047619,-1.736
740,1.0,0.619047619,-1.736
741,1.0,0.619047619,-1.736
742,1.0,0.619047619,-1.519
743,1.0,0.619047619,-1.519
744,1.0,0.619047619,-1.519
745,1.0,0.619047619,-1.519
746,1.0,0.619047619,-1.519
747,1.0,0.619047619,-1.519
748,1.0,0.0,-0.944
749,1.0,0.0,-0.987
750,1.0,0.0,-0.987
751,1.0,0.0,-0.987
752,1.0,0.755555556,-0.835
753,1.0,0.755555556,-0.835
754,1.0,0.0,1.087
755,1.0,0.0,1.087
756,1.0,0.0,1.087
757,1.0,0.0,1.751
758,1.0,0.0,1.751
759,1.0,0.0,1.751
760,1.0,0.0,1.751
761,1.0,0.0,1.751
762,1.0,0.0,1.191
763,1.0,0.0,1.191
764,1.0,0.0,2.157
765,1.0,0.0,2.157
766,1.0,0.0,2.157
767,1.0,0.0,2.157
768,1.0,0.0,2.157
769,1.0,0.0,2.157
770,1.0,-0.666666667,2.157
771,1.0,0.0,2.157
772,1.0,0.0,2.157
773,1.0,0.0,2.157
774,1.0,0.0,2.157
775,1.0,0.0,2.157
776,1.0,0.0,2.157
777,1.0,0.0,2.157
778,1.0,0.0,2.157
779,1.0,0.0,2.157
780,1.0,0.0,2.157
781,1.0,0.0,2.157
782,1.0,0.0,2.157
783,1.0,0.0,2.157
784,1.0,0.0,2.157
785,1.0,0.0,2.157
786,1.0,0.0,2.157
787,1.0,0.0,2.157
788,1.0,0.0,2.157
789,1.0,0.0,2.157
790,1.0,0.0,2.157
791,1.0,0.0,2.157
792,1.0,0.0,2.157
793,1.0,0.0,2.157
794,1.0,0.0,2.157
795,1.0,0.0,2.157
796,1.0,0.0,2.157
797,1.0,0.0,2.157
798,1.0,0.0,2.157
799,1.0,0.0,2.157
800,1.0,0.0,2.157
801,1.0,0.0,2.157
802,1.0,0.0,2.157
803,1.0,0.0,2.157
804,1.0,0.0,2.157
805,1.0,0.0,2.157
806,1.0,0.0,2.157
807,1.0,0.0,2.157
808,1.0,0.0,2.157
809,1.0,0.0,2.157
810,1.0,0.0,2.157
811,1.0,0.0,2.157
812,1.0,0.0,2.157
813,1.0,0.0,2.157
814,1.0,0.0,2.157
815,1.0,0.0,2.157
816,1.0,0.0,2.157
817,1.0,0.0,2.157
818,1.0,0.0,2.157
819,1.0,0.0,2.157
820,1.0,0.0,2.157
821,1.0,0.0,2.157
822,1.0,0.0,2.157
823,1.0,0.0,2.157
824,1.0,0.0,2.157
825,1.0,0.0,2.157
826,1.0,0.0,2.157
827,1.0,0.0,2.157
828,1.0,0.0,2.157
829,1.0,0.0,2.157
830,1.0,0.0,2.157
831,1.0,0.0,2.157
832,1.0,0.0,2.157
833,1.0,0.0,2.157
834,1.0,0.0,2.157
835,1.0,0.0,2.157
836,1.0,0.0,2.157
837,1.0,0.0,2.157
838,1.0,0.0,2.157
839,1.0,0.0,2.157
840,1.0,0.0,2.157
841,1.0,0.0,2.157
842,1.0,0.0,2.157
843,1.0,0.0,2.157
844,1.0,0.0,2.157
845,1.0,0.0,2.157
846,1.0,0.0,2.157
847,1.0,0.0,2.157
848,1.0,0.0,2.157
849,1.0,0.0,2.157
850,1.0,0.0,2.157
851,1.0,0.0,2.157
852,1.0,0.0,2.157
853,1.0,0.0,2.157
854,1.0,0.0,2.157
855,1.0,0.0,2.157
856,1.0,0.0,2.157
857,1.0,0.0,2.157
858,1.0,0.0,2.157
859,1.0,0.0,2.157
860,1.0,0.0,2.157
861,1.0,0.0,2.157
862,1.0,0.0,2.157
863,1.0,0.0,2.157
864,1.0,0.0,2.157
865,1.0,0.0,2.157
866,1.0,0.0,2.157
867,1.0,0.0,2.157
868,1.0,0.0,2.157
869,1.0,0.0,2.157
870,1.0,0.0,2.157
871,1.0,1.0,1.733
872,1.0,1.0,1.733
873,1.0,1.0,1.733
874,1.0,1.0,1.733
875,1.0,1.0,1.733
876,1.0,1.0,1.733
877,1.0,1.0,1.733
878,1.0,1.0,1.733
879,1.0,1.0,1.733
880,1.0,1.0,1.733
881,1.0,1.0,1.733
882,1.0,1.0,1.733
883,1.0,1.0,1.733
884,1.0,1.0,1.733
885,1.0,1.0,1.733
886,1.0,1.0,1.733
887,1.0,1.0,1.733
888,1.0,1.0,1.733
889,1.0,1.0,1.733
890,1.0,1.0,1.733
891,1.0,1.0,1.733
892,1.0,1.0,1.733
893,1.0,1.0,1.733
894,1.0,1.0,1.733
895,1.0,1.0,1.733
896,1.0,1.0,1.733
897,1.0,1.0,1.733
898,1.0,1.0,1.733
899,1.0,1.0,1.733
900,1.0,1.0,1.733
901,1.0,1.0,1.733
902,1.0,1.0,1.733
903,1.0,1.0,1.733
904,1.0,1.0,1.733
905,1.0,1.0,1.733
906,1.0,1.0,1.733
907,1.0,1.0,1.733
908,1.0,1.0,1.733
909,1.0,1.0,1.733
910,1.0,1.0,1.733
911,1.0,1.0,1.733
912,1.0,1.0,1.733
913,1.0,1.0,1.733
914,1.0,1.0,1.733
915,1.0,1.0,1.733
916,1.0,1.0,1.733
917,1.0,1.0,1.733
918,1.0,1.0,1.733
919,1.0,1.0,1.733
920,1.0,1.0,1.733
921,1.0,1.0,1.733
922,1.0,1.0,1.733
923,1.0,1.0,1.733
924,1.0,1.0,1.733
925,1.0,1.0,1.733
926,1.0,1.0,1.733
927,1.0,1.0,1.733
928,1.0,1.0,1.733
929,1.0,1.0,1.733
930,1.0,1.0,1.733
